work,year,primary_url,comparability_group,pa,fc_GHz,bandwidth_MHz,waveform,evaluation,training,model_size,inference_cost,nmse_dB,evm,aclr_acpr,hardware,limitations,directly_comparable_to_OpenDPDv2
OpenDPDv2_TRes-DeltaGRU,2025,https://arxiv.org/abs/2507.06849,APA_200MHz,"GaN Doherty Ampleon AR211132",3.5,200,"TM3.1a 5x40 MHz 256-QAM OFDM","final physical PA measurement","E2E through frozen PA surrogate; AdamW; 240 epochs; 60/20/20","999 trainable parameters","1324 generic paper FLOPs/sample; real-MUL breakdown NR",-39.6,"-42.1 dB (5.84% no-DPD)","avg ACPR -59.9 dBc","gem5 ARMv7-A/NEON 7nm energy simulation; W16/W12","left/right ACPR and calibration wall-clock NR; drift not tested",yes
OpenDPDv2_TRes-DeltaGRU_56pct,2025,https://arxiv.org/abs/2507.06849,APA_200MHz,"GaN Doherty Ampleon AR211132",3.5,200,"TM3.1a 5x40 MHz 256-QAM OFDM","final physical PA measurement","same as dense OpenDPDv2","999 stored; 450 mean active","delta threshold/cache overhead not included in active count",-38.1,"-40.6 dB","avg ACPR -52.9 dBc","gem5 estimate","mean active work is not stored size or worst-case work",yes
TCN-DPD-1000,2025,https://arxiv.org/abs/2506.12165,DPA_200MHz,"frozen DGRU surrogate of 40nm digital transmitter",NR,200,"10x20 MHz 64-QAM OFDM","surrogate only","E2E through frozen surrogate; 5 seeds","about 1000 parameters","operations and causal streaming latency NR",-46.37,"-49.40 dB","ACPR L/R -52.58/-50.84 dBc",none,"different dataset; noncausal look-ahead; no physical PA verification",no
SparseDPD_PNTDNN,2025,https://arxiv.org/abs/2506.16591,SparseDPD_20MHz,"3.5GHz GaN Doherty capture evaluated through OpenDPD surrogate",3.5,20,"64-QAM","DPD+surrogate; not physical DPD remeasurement","QAT 400 epochs plus 6x200 pruning epochs; one seed; 60/20/20","64 stored parameters; 74% zeros","72 operations/sample",-48.2,"-54.0 dB","ACPR -59.4 dBc","Zynq-7Z010 post-implementation simulation; 170 MS/s; 405 mW total; int14","unstructured zeros need zero-skipping engine; narrowband; one seed",no
Spline_SPH_E1,2020,https://arxiv.org/abs/1907.02350,Spline_E1,"Mini-Circuits ZHL-4240",3.5,100,"NR DL OFDM; 30kHz SCS; 95.04MHz occupied","physical PA","5 ILA iterations; decoupled LMS LUT/FIR","13 coefficients","36 real multiplications/sample; 69 paper FLOPs/sample",NR,"5.54%","max adjacent PSD -36.3 dBm/MHz",none,"NMSE and ACLR NR; EVM floor about 4%",no
Spline_SMP_E1,2020,https://arxiv.org/abs/1907.02350,Spline_E1,"Mini-Circuits ZHL-4240",3.5,100,"NR DL OFDM; 30kHz SCS; 95.04MHz occupied","physical PA","5 ILA iterations; LMS","31 coefficients","63 real multiplications/sample; 99 paper FLOPs/sample",NR,"5.57%","max adjacent PSD -37.8 dBm/MHz",none,"NMSE and ACLR NR; EVM floor about 4%",no
Spline_MP_E1,2020,https://arxiv.org/abs/1907.02350,Spline_E1,"Mini-Circuits ZHL-4240",3.5,100,"NR DL OFDM; 30kHz SCS; 95.04MHz occupied","physical PA","5 ILA iterations","24 complex coefficients","112 real multiplications/sample; 255 paper FLOPs/sample",NR,"5.47%","max adjacent PSD -38.2 dBm/MHz",none,"different PA and evaluator",no
Spline_SPH_E3_200MHz,2020,https://arxiv.org/abs/1907.02350,Spline_E3,"64-element Anokiwave AWMF-0129 array OTA",28,200,"NR 64-QAM; 7x oversampling","physical OTA array","5 ILA iterations x 50k samples","NR","36 real multiplications/sample; 69 paper FLOPs/sample",NR,"6.25%","TRP ACLR 34.1 dB",none,"different PA/metric; no NMSE",no
Piecewise_closed_loop_pruned,2020,https://arxiv.org/abs/2003.06348,mmWave_piecewise_400MHz,"64-element AWMF-0129 active array OTA",28,400,"5G NR OFDM 64-QAM 120kHz SCS","physical OTA array","10x20k closed-loop blocks","96 retained from 348 basis functions","2219 forward paper FLOPs/sample",NR,NR,"curves; claimed about +4dB usable EIRP",none,"exact RF table mostly plots; orthogonalization cost convention differs",no
Feature_selected_residual_PNN,2026,https://arxiv.org/abs/2607.15441,FR3_DUT1,"ADL9006 GaAs",15,100,"single-carrier 64-QAM RRC alpha=0.35","physical PA after inverse-model selection","ILA; LASSO 321200->about2000; MRMR; residual PNN; 33/33/33","650 coefficients for best listed model","1768 FLOPs/sample","-41.1615 validation inverse-model NMSE","1.08%","worst ACLR -41.876 dBc",none,"offline selection cost and wall-clock NR; one capture split; fresh preprint",no
