"id","title","authors","year","venue","doi_or_official_url","deep_review","code_url","method_family","pa_type","carrier_GHz","bandwidth_MHz","sample_rate_Msps","waveform","dataset_or_setup","training_method","feedback_or_adaptation","nmse_dB","evm","aclr_acpr","papr","model_size","inference_cost","bit_width","hardware_evidence","physical_pa_evidence","limitations","project_applicability","directly_comparable_to_OpenDPDv2","evidence_class","nrmse_percent","nmse_scope","spectral_scope_and_convention"
"D001","A New Volterra Predistorter Based on the Indirect Learning Architecture","Changsoo Eun; E. J. Powers","1997","IEEE Transactions on Signal Processing","https://doi.org/10.1109/78.552219","no","not reported","ILA; Volterra","modeled PA","not reported","not reported","not reported","not reported","simulation","postinverse RLS","indirect learning","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none reported","no","simulation and inverse assumptions","foundational ILA; does not justify circular test","no","simulation","not reported","not reported","not reported"
"D002","Digital Predistortion of Wideband Signals Based on Power Amplifier Model with Memory","J. Kim; K. Konstantinou","2001","Electronics Letters","https://doi.org/10.1049/el:20010940","no","not reported","memory polynomial precursor","physical PA","not reported","not reported","not reported","UMTS-like wideband","authors' setup","model extraction","indirect/open-loop","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none reported","yes","early narrow-band evidence; detailed cost not reported","historical MP baseline","no","physical-DPD","not reported","not reported","not reported"
"D003","A Robust Digital Baseband Predistorter Constructed Using Memory Polynomials","L. Ding; G. T. Zhou; D. R. Morgan; Z. Ma; J. S. Kenney; J. Kim; C. R. Giardina","2004","IEEE Transactions on Communications","https://doi.org/10.1109/TCOMM.2003.822188","no","not reported","memory polynomial","physical PA","not reported","not reported","not reported","wideband modulated","authors' setup","linear least squares","ILA-style calibration","not reported","not reported","not reported","not reported","order x memory complex coefficients","proportional to active MP terms; exact real count not reported","not reported","none reported","yes","different PA and spectrum procedure","mandatory classical baseline","no","physical-DPD","not reported","not reported","not reported"
"D004","A Generalized Memory Polynomial Model for Digital Predistortion of RF Power Amplifiers","D. R. Morgan; Z. Ma; J. Kim; M. G. Zierdt; J. Pastalan","2006","IEEE Transactions on Signal Processing","https://doi.org/10.1109/TSP.2006.879264","yes","not reported","GMP","30 W physical PA","2.14","about 15","153.6","11-carrier CDMA","authors' physical setup","linear least squares; 3-4 ILA iterations","indirect learning","not reported","not reported","MP about 52 dB and GMP about 59 dB spectral regrowth suppression in paper convention","not reported","MP 20; GMP 40 complex coefficients","exact real MUL/ADD not reported","not reported","none reported","yes","different PA/bandwidth; EVM/NMSE/runtime not reported","mandatory GMP baseline and branch dictionary","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D005","Novel Adaptive Nonlinear Predistorters Based on the Direct Learning Algorithm","Dayong Zhou; Victor E. DeBrunner","2007","IEEE Transactions on Signal Processing","https://doi.org/10.1109/TSP.2006.882058","no","not reported","DLA; NALMS; NARLS; NFXRLS","Wiener PA simulation","not reported","not reported","not reported","54-subcarrier OFDM","simulation","adaptive direct learning","feedback; LMS/RLS","not reported","not reported","not reported","not reported","not reported","RLS O(C^2) calibration; deployed model dependent","not reported","none","no","simulation only; feedback sensitivity estimate required","adaptive-learning baseline","no","simulation","not reported","not reported","not reported"
"D006","Open-Loop Digital Predistorter for RF Power Amplifiers Using Dynamic Deviation Reduction-Based Volterra Series","Anding Zhu; Paul J. Draxler; Jonmei J. Yan; Thomas J. Brazil; Donald F. Kimball; Peter M. Asbeck","2008","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2008.925211","no","not reported","DDR Volterra","physical RF PA","not reported","not reported","not reported","wideband modulated","authors' setup","linear parameter estimation","open-loop predistortion","not reported","not reported","not reported","not reported","reduced Volterra dictionary","depends on retained DDR terms","not reported","none reported","yes","exact modern hardware count not reported","candidate residual dictionary","no","physical-DPD","not reported","not reported","not reported"
"D007","Digital Predistortion for Envelope-Tracking Power Amplifiers Using Decomposed Piecewise Volterra Series","Anding Zhu; P. J. Draxler; Chin Hsia; T. J. Brazil; D. F. Kimball; P. M. Asbeck","2008","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2008.2003529","no","not reported","piecewise Volterra; envelope tracking","physical envelope-tracking PA","not reported","not reported","not reported","wideband modulated","authors' setup","linear extraction","offline/ILA","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none reported","yes","different ET PA and old waveform","piecewise physical prior","no","physical-DPD","not reported","not reported","not reported"
"D008","Digital Predistortion for Power Amplifiers Using Separable Functions","Hong Jiang; Paul Wilford","2010","IEEE Transactions on Signal Processing","https://doi.org/10.1109/TSP.2010.2049742","no","not reported","separable inverse; ILA theory","modeled nonlinear system","not reported","not reported","not reported","not reported","theory/simulation","postinverse identification","indirect learning","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none","no","equivalence requires existence and uniqueness assumptions","explains why ILA training is valid but deployment test must use desired x","no","simulation","not reported","not reported","not reported"
"D009","Iterative Learning Control for RF Power Amplifier Linearization","Jessica Chani-Cahuana; Per Niklas Landin; Christian Fager; Thomas Eriksson","2016","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2016.2588483","yes","not reported","iterative learning control","physical RF PA","not reported","not reported","not reported","repeatable modulated waveform","authors' physical setup","ILC then deployable model fit","repeated physical feedback","not reported","not reported","not reported","not reported","teacher waveform plus fitted DPD","many physical acquisitions; deployed cost model-dependent","not reported","measurement setup; no deployed accelerator claim","yes","calibration-heavy and waveform repeatability required","high-quality physical teacher and upper bound","no","physical-DPD","not reported","not reported","not reported"
"D010","Obtaining the Preinverse of a Power Amplifier Using Iterative Learning Control","Maarten Schoukens; Jules Hammenecker; Adam Cooman","2017","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2017.2694822","yes","not reported","ILC preinverse","physical PA","not reported","not reported","not reported","repeatable waveform","authors' physical setup","iterative learning","physical feedback","not reported","not reported","not reported","not reported","waveform teacher","calibration only; student cost separate","not reported","none reported","yes","not a streaming deployed DPD by itself","teacher-student calibration prior","no","physical-DPD","not reported","not reported","not reported"
